Player,Rundle,QPct,Rundle Group,Percentile
AlcornG,B Fjord,0.61333333333333,B,0.3402555910543131
AlcornR,B Keystone,0.53333333333333,B,0.05796439981743496
AlcornS,E Ranger Div 3,0.5,E,0.9545187102847729
AldayB,D Mesa Div 1,0.39855072463768,D,0.1395187704711514
AldenL,C Tundra,0.5,C,0.17348664186675686
AldenN,E Palisade Div 1,0.25,E,0.09849376323840904
AldereteM,D Lyceum Div 1,0.41333333333333,D,0.1948853615520282
AldermanD,A Seneca,0.76086956521739,A,0.6245178399228544
AldershofN,D Sugarloaf Div 2,0.52,D,0.740551776266062
AldhousP,C Isthmus,0.56944444444444,C,0.5572370645924923
AldrichD,E Vista Div 2,0.38,E,0.5937279359849377
AldrichK,D Horizon Div 1,0.46,D,0.4247291509196271
AlegriaD,E Vista Div 1,0.44,E,0.8303130148270181
Alencar LulaM,E Pioneer Div 2,0.42,E,0.7606495646034361
AleshireL,C Memorial,0.5,C,0.17348664186675686
AlessandroP,E Cerulean Div 1,0.35333333333333,E,0.46310896681572133
AlessiC,E Olive Div 2,0.48666666666667,E,0.9375735467168745
AlevyM,D Sunrise Div 1,0.48666666666667,D,0.5795540438397582
Alexander C,C Veldt,0.56,C,0.49754819073385187
Alexander-Fagan S,D Typhoon Div 1,0.64,D,0.9897959183673469
Alexander-HoeppnerJ,D Pacific Div 2,0.46,D,0.4247291509196271
Alexander-YoungJ,R Div 28,0.42857142857143,R,0.5131972111553785
AlexanderB,D Denali Div 1,0.36666666666667,D,0.06424792139077853
AlexanderC2,D Glacier Div 1,0.48611111111111,D,0.5619173595364072
AlexanderJ4,R Div 50,0.37878787878788,R,0.3881972111553785
AlexanderJK,C Volcano Div 1,0.54,C,0.3791849847818735
AlexanderJR,A Maritime,0.70666666666667,A,0.3164175506268081
AlexanderJS,A Seaboard,0.85333333333333,A,0.9439488910318226
AlexanderM,C Sierra Div 2,0.60666666666667,C,0.7602299628001352
AlexanderM755,A Byzantium,0.67333333333333,A,0.17104628736740599
AlexanderMJ,B Continental,0.62666666666667,B,0.4324509356458238
AlexanderT,A Aspen,0.86666666666667,A,0.9604628736740598
AlexanderT212,B Mesa,0.75333333333333,B,0.9585805568233683
AlexanderTD,E Alpine Div 1,0.50666666666667,E,0.9615791951047306
AlexanderW,D Labyrinth Div 2,0.5,D,0.6482111363063744
AlexandrowN,A Riviera,0.7,A,0.2836306653809065
AlexsonP,E Denali Div 2,0.39333333333333,E,0.6524476347375853
AlexsonT,D Denali Div 2,0.38,D,0.09397833207357018
AlfanoK,C Isthmus,0.5,C,0.17348664186675686
AlfanoS,E Isthmus Div 3,0.38,E,0.5937279359849377
